VNET,NET,STA,SITE DESCRIPTION,LAT,LON,ELEV,START,END,STATUS,INSTALL,CERT
_US-TA,TA,O56A,"Blue Knob State Park, Imler, PA, USA",40.27,-78.57,684,2013/06/10,2015/05/06,Ended,2010/11/05,2013/06/10
_US-TA,TA,O57A,"Amberson, PA, USA",40.21,-77.64,377,2013/05/22,2015/05/07,Ended,2013/05/22,2013/05/28
_US-TA,TA,O58A,"Lewisberry, PA, USA",40.12,-76.92,321,2013/06/15,2015/05/07,Ended,2013/06/15,2013/07/02
_US-TA,TA,O59A,"Robesonia, PA, USA",40.31,-76.19,334,2013/04/28,2015/05/21,Ended,2013/04/28,2013/04/29
_US-TA,TA,O60A,"Telford, PA, USA",40.32,-75.41,70,2013/04/28,2015/05/22,Ended,2013/04/28,2013/04/29
_US-TA,TA,O61A,"Allentown, NJ, USA",40.09,-74.55,38,2013/05/29,2015/05/27,Ended,2013/05/29,2013/05/30
_US-TA,TA,P01C,"Double 8 Ranch, Willits, CA, USA",39.47,-123.34,440.9,2005/08/24,2007/09/04,Ended,2005/08/24,2005/08/25
_US-TA,TA,P05C,"Yuba Gap, Truckee, CA, USA",39.3,-120.61,1756.5,2005/06/07,2007/10/13,Ended,2005/06/07,2005/06/13
_US-TA,TA,P06A,"Stead Airport, Stead, NV, USA",39.68,-119.9,1368.6,2006/04/29,2008/03/04,Ended,2006/04/28,2006/05/16
_US-TA,TA,P07A,"Fallon, NV, USA",39.54,-118.89,1218.6,2006/02/25,2008/03/10,Ended,2006/02/25,2006/03/23
_US-TA,TA,P08A,"Dixie Valley, NV, USA",39.69,-118.08,1040.2,2006/02/26,2008/03/11,Ended,2006/02/26,2006/03/27
_US-TA,TA,P08K,"Saint George Island, AK, USA",56.6,-169.55,36,2017/12/21,2019/11/12,Ended,2017/10/09,2017/12/22
_US-TA,TA,P09A,"Austin, NV, USA",39.55,-117.14,1737.7,2006/04/15,2008/03/08,Ended,2006/04/14,2006/04/21
_US-TA,TA,P10A,"Eureka, NV, USA",39.62,-116.46,1874,2006/06/08,2008/09/08,Ended,2006/06/07,2006/06/20
_US-TA,TA,P11A,"Circle Ranch, Eureka, NV, USA",39.55,-115.75,1787,2006/05/28,2008/09/09,Ended,2006/05/28,2006/06/14
_US-TA,TA,P12A,"McGill, NV, USA",39.47,-114.91,1878,2006/05/30,2008/09/02,Ended,2006/05/30,2006/06/02
_US-TA,TA,P13A,"Bates Ranch, Gandy, UT, USA",39.45,-114.02,1555,2007/03/01,2008/09/05,Ended,2007/03/01,2007/03/09
_US-TA,TA,P14A,"Drum Mountains (BLM), Topaz, UT, USA",39.59,-113.07,1784,2007/06/13,2008/11/18,Ended,2007/06/12,2007/06/26
_US-TA,TA,P15A,"Leamington, UT, USA",39.57,-112.28,1576,2007/05/23,2009/04/11,Ended,2007/05/23,2007/05/30
_US-TA,TA,P16A,"Fountain Green, UT, USA",39.61,-111.66,1822,2007/05/29,2009/04/11,Ended,2007/05/28,2007/06/07
_US-TA,TA,P16K,"Nushagak River, AK, USA",59.03,-157.99,85.9,2016/05/26,2019/11/28,Ended,2016/05/26,2016/06/01
_US-TA,TA,P17A,"Butcher Ranch, Price, UT, USA",39.47,-110.74,1687,2007/07/14,2009/05/21,Ended,2007/07/14,2007/07/21
_US-TA,TA,P17K,"Kvichak River, AK, USA",59.2,-156.44,91,2016/06/01,2019/11/28,Ended,2016/05/31,2016/06/03
_US-TA,TA,P18A,"Preston Nutter Ranch, Sunnyside, UT, USA",39.63,-110.25,2743,2007/07/26,2009/06/03,Ended,2007/07/26,2007/08/01
_US-TA,TA,P18K,"Big Mountain, AK, USA",59.39,-155.23,680,2015/10/09,2599/12/31,Operating,2015/06/15,2015/10/11
_US-TA,TA,P19A,"Cripple Cowboy Ranch, Baxter Pass, CO, USA",39.63,-108.98,2099,2007/08/21,2009/11/09,Ended,2007/08/21,2007/08/27
_US-TA,TA,P19K,"Oil Pt, AK, USA",59.65,-153.23,629,2015/06/25,2599/12/31,Operating,2015/06/24,2015/06/30
_US-TA,TA,P20A,"De Beque, CO, USA",39.5,-108.39,1738,2007/12/10,2009/11/04,Ended,2007/12/08,2007/12/30
_US-TA,TA,P21A,"Newcastle, CO, USA",39.52,-107.45,2097,2007/12/13,2009/10/22,Ended,2007/12/12,2007/12/30
_US-TA,TA,P22A,"Eagle, CO, USA",39.6,-106.76,2170,2008/06/22,2010/06/15,Ended,2008/06/22,2008/07/03
_US-TA,TA,P23A,"Jefferson, CO, USA",39.37,-105.84,3006,2008/06/24,2010/06/16,Ended,2008/06/24,2008/07/03
_US-TA,TA,P23K,"Montague Island, AK, USA",60,-147.4,287,2016/05/23,2019/08/26,Ended,2016/05/22,2016/06/01
_US-TA,TA,P24A,"Kohler Place, Littleton, CO, USA",39.51,-104.91,1861,2008/06/11,2010/05/05,Ended,2008/06/10,2008/06/26
_US-TA,TA,P25A,"Willow Gulch Bison Ranch, Deer Trail, CO, USA",39.51,-104.17,1753,2008/06/09,2010/05/06,Ended,2008/06/09,2008/06/26
_US-TA,TA,P26A,"Davis Ranch, Arriba, CO, USA",39.56,-103.35,1566,2008/12/02,2010/10/14,Ended,2008/12/02,2008/12/22
_US-TA,TA,P27A,"Ficken Ranch, Kirk, CO, USA",39.56,-102.58,1286,2009/02/03,2010/10/16,Ended,2009/02/03,2009/02/12
_US-TA,TA,P28A,"Satin Francis, KS, USA",39.57,-101.75,1105,2009/05/11,2011/04/02,Ended,2009/05/11,2009/05/15
_US-TA,TA,P29A,"Atwood, KS, USA",39.6,-100.93,929,2009/05/13,2011/04/03,Ended,2009/05/13,2009/06/03
_US-TA,TA,P29M,"Windy Craggy, BC, CAN",59.63,-137.74,679,2016/07/15,2599/12/31,Operating,2016/07/15,2016/07/20
_US-TA,TA,P30A,"Selden, KS, USA",39.54,-100.25,788,2009/05/15,2011/04/03,Ended,2009/05/15,2009/06/03
_US-TA,TA,P30M,"Million Dollar Falls, (MDFC Geodetic GPS), YT, CA",60.12,-136.96,883,2016/05/28,2599/12/31,Operating,2016/04/30,2016/06/20
_US-TA,TA,P31A,"Stockton, KS, USA",39.52,-99.38,665,2009/05/18,2011/04/05,Ended,2009/05/18,2009/06/03
_US-TA,TA,P32A,"Huiting Farm, Downs, KS, USA",39.62,-98.6,524,2009/09/19,2011/08/23,Ended,2009/09/19,2009/10/04
_US-TA,TA,P32M,"Atlin, BC, CAN",59.59,-133.71,793,2016/06/03,2599/12/31,Operating,2016/06/02,2016/06/12
_US-TA,TA,P33A,"Williams Farm, Concordia, KS, USA",39.44,-97.69,488,2009/09/20,2011/08/23,Ended,2009/09/20,2009/10/04
_US-TA,TA,P33M,"Teslin, Yukon, CA",60.21,-132.82,1066,2015/10/15,2599/12/31,Operating,2015/10/15,2015/10/19
_US-TA,TA,P34A,"Walnut Farm, Randolph, KS, USA",39.55,-96.83,429,2010/05/27,2012/03/16,Ended,2010/05/27,2010/06/02
_US-TA,TA,P35A,"Duane Minner, Soldier, KS, USA",39.53,-96.02,418,2010/05/16,2012/03/16,Ended,2010/05/16,2010/05/17
_US-TA,TA,P36A,"Good Intent, Atchison, KS, USA",39.62,-95.21,313,2010/05/28,2012/03/14,Ended,2010/05/28,2010/06/02
_US-TA,TA,P37A,"Lathrop, MO, USA",39.59,-94.35,300,2010/11/27,2012/09/25,Ended,2010/11/27,2010/12/14
_US-TA,TA,P38A,"Dawn, MO, USA",39.62,-93.53,248,2010/11/28,2012/09/14,Ended,2010/11/28,2010/12/14
_US-TA,TA,P39A,"Salisbury, MO, USA",39.49,-92.75,232,2010/11/29,2011/04/14,Ended,2010/11/29,2010/12/14
_US-TA,TA,P39B,"Salisbury, MO, USA",39.49,-92.75,226,2011/05/06,2012/09/28,Ended,2011/05/06,2011/05/16
_US-TA,TA,P40A,"Paris, MO, USA",39.53,-92.05,225,2010/12/07,2012/09/12,Ended,2010/12/07,2011/01/03
_US-TA,TA,P41A,"Barry, Barry, IL, USA",39.67,-91.06,215,2011/06/09,2013/04/13,Ended,2011/06/09,2011/06/13
_US-TA,TA,P42A,"Winchester, IL, USA",39.59,-90.34,197,2011/06/19,2013/04/14,Ended,2011/06/19,2011/06/27
_US-TA,TA,P43A,"Skaggs, Pawnee, IL, USA",39.64,-89.52,176,2011/08/16,2013/11/08,Ended,2011/08/16,2011/08/20
_US-TA,TA,P44A,"Sand Creek, Windsor, IL, USA",39.47,-88.62,195,2011/08/06,2013/04/29,Ended,2011/08/06,2011/08/12
_US-TA,TA,P45A,"Graceland, Paris, IL, USA",39.53,-87.74,193,2011/11/16,2013/07/11,Ended,2011/11/16,2011/11/21
_US-TA,TA,P46A,"Rosedale, IN, USA",39.62,-87.21,194,2011/10/22,2013/12/20,Ended,2011/10/22,2011/10/24
_US-TA,TA,P47A,"Martinsville, IN, USA",39.49,-86.27,246,2011/10/19,2013/07/16,Ended,2011/10/19,2011/10/24
_US-TA,TA,P48A,"Milroy, IN, USA",39.46,-85.43,300,2012/06/25,2014/05/02,Ended,2012/06/25,2012/07/10
_US-TA,TA,P49A,"Miami Univ. Ecology Research Center, OH, USA",39.53,-84.72,272,2012/06/29,2014/05/14,Ended,2012/06/29,2012/07/10
_US-TA,TA,P50A,"Jamestown, OH, USA",39.61,-83.8,318,2012/06/19,2014/06/01,Ended,2012/06/19,2012/06/22
_US-TA,TA,P51A,"Williamsport, OH, USA",39.48,-83.06,211,2012/07/23,2014/12/01,Ended,2012/07/23,2012/08/22
_US-TA,TA,P52A,"Corning, OH, USA",39.63,-82.13,293,2012/08/21,2014/11/28,Ended,2012/07/24,2012/08/22
_US-TA,TA,P53A,"Whipple, OH, USA",39.49,-81.39,270,2012/08/27,2014/11/24,Ended,2012/08/27,2012/08/28
_US-TA,TA,P54A,"Burton, WV, USA",39.6,-80.48,473,2013/01/27,2014/11/16,Ended,2013/01/27,2013/01/28
_US-TA,TA,P55A,"Reedsville, WV, USA",39.51,-79.83,551,2012/12/14,2014/11/19,Ended,2012/12/14,2012/12/17
_US-TA,TA,P56A,"Dayton Farm, Ripley, WV, USA",39.5,-78.84,249,2013/05/22,2015/05/05,Ended,2013/05/22,2013/05/30
_US-TA,TA,P57A,"Homestead Farm, Martinsburg, WV, USA",39.48,-78.01,191,2013/05/21,2015/05/05,Ended,2013/05/21,2013/05/30
_US-TA,TA,P58A,"Pank, Wackersville, MD, USA",39.49,-77.3,139,2013/06/29,2015/02/16,Ended,2013/06/29,2013/07/02
_US-TA,TA,P59A,"Jarrettsville, MD, USA",39.61,-76.43,157,2013/04/27,2015/05/12,Ended,2013/04/27,2013/04/29
_US-TA,TA,P60A,"Greenville, DE, USA",39.81,-75.64,105,2013/04/28,2015/05/18,Ended,2013/04/28,2013/04/29
_US-TA,TA,P61A,"Hammonton, NJ, USA",39.67,-74.79,22,2013/05/29,2015/02/12,Ended,2013/05/29,2013/05/30
_US-TA,TA,POKR,"Poker Flat Research Range, AK, USA",65.12,-147.43,501,2012/10/16,2599/12/31,Operating,2012/10/02,2012/10/17
_US-TA,TA,Q03C,"Winters, CA, SA",38.63,-122.01,108,2005/06/28,2007/12/04,Ended,2005/06/28,2005/06/30
_US-TA,TA,Q04C,"Lincoln, CA, USA",38.84,-121.38,14,2004/12/10,2007/10/12,Ended,2004/12/10,2004/12/13
_US-TA,TA,Q07A,"Schurz, NV, USA",38.94,-118.81,1275.9,2006/02/27,2008/03/13,Ended,2006/02/27,2006/03/23
_US-TA,TA,Q08A,"Gabbs, NV, USA",38.86,-117.93,1411.5,2006/03/02,2008/03/14,Ended,2006/03/02,2006/03/27
_US-TA,TA,Q09A,"Carvers, NV, USA",38.83,-117.18,1703.5,2006/04/14,2008/03/22,Ended,2006/04/13,2006/04/20
_US-TA,TA,Q10A,"Clear Creek Ranch, Tonopah, NV, USA",38.82,-116.4,2027,2007/02/07,2008/09/13,Ended,2007/02/07,2007/02/12
_US-TA,TA,Q11A,"Duckwater, NV, USA",38.85,-115.65,1562,2006/06/08,2008/09/11,Ended,2006/06/08,2006/06/14
_US-TA,TA,Q12A,"Willow Creek Ranch, Ely, NV, USA",39.04,-114.83,1625,2006/05/29,2008/09/04,Ended,2006/05/26,2006/06/30
_US-TA,TA,Q13A,"Wheeler Ranch, Garrison, UT, USA",38.96,-114.02,1583,2007/03/02,2008/09/04,Ended,2007/03/02,2007/03/09
_US-TA,TA,Q14A,"Sevier Lake (BLM), Delta, UT, USA",38.99,-113.28,1464,2007/06/11,2008/11/17,Ended,2007/06/11,2007/06/26
_US-TA,TA,Q15A,"Fillmore, UT, USA",39,-112.38,1477,2007/05/22,2008/11/15,Ended,2007/05/22,2007/05/30
_US-TA,TA,Q16A,"Castle Valley Ranch, Emery, UT, USA",38.92,-111.17,1912,2007/05/31,2009/11/24,Ended,2007/05/31,2007/06/05
_US-TA,TA,Q16K,"King Salmon, AK, USA",58.68,-156.66,22,2016/06/09,2599/12/31,Operating,2016/06/09,2016/06/20
_US-TA,TA,Q17K,"Contact Creek, Katmai, AK, USA",58.26,-155.89,1165,2016/06/05,2599/12/31,Operating,2016/06/05,2016/06/12
_US-TA,TA,Q18A,"Rafter H Ranch, Green River, UT, USA",39.1,-110.13,1295,2007/07/14,2009/03/09,Ended,2007/07/14,2007/07/21
_US-TA,TA,Q18K,"Katmai Hardscrabble Creek, AK, USA",58.65,-155.01,1250,2016/06/04,2599/12/31,Operating,2016/06/02,2016/06/12
_US-TA,TA,Q19A,"Hogan Spring (BLM), Cisco, UT, USA",38.96,-109.26,1283,2007/06/14,2009/04/26,Ended,2007/06/14,2007/06/26
_US-TA,TA,Q19K,"Cape Douglas, AK, USA",58.93,-153.64,631,2015/08/16,2019/10/28,Ended,2015/08/15,2015/08/26
_US-TA,TA,Q20A,"Ridgley Place, Grand Junction, CO, USA",38.95,-108.3,1716,2007/11/30,2009/11/06,Ended,2007/11/30,2007/12/03
_US-TA,TA,Q20K,"Shuyak Island, AK, USA",58.61,-152.39,180,2016/05/25,2599/12/31,Operating,2016/05/25,2016/05/26
_US-TA,TA,Q21A,"Lamborn Mesa, Paonia, CO, USA",38.83,-107.57,1881,2007/12/04,2009/11/10,Ended,2007/12/04,2007/12/21
_US-TA,TA,Q22A,"Crested Butte, Gunnison, CO, USA",38.86,-106.91,2727,2007/12/18,2009/11/06,Ended,2007/12/18,2007/12/30
_US-TA,TA,Q23A,"Hartsel, CO, USA",38.9,-105.83,2774,2008/06/25,2010/06/16,Ended,2008/06/25,2008/07/03
_US-TA,TA,Q23K,"Middleton Island, AK, USA",59.43,-146.34,46,2014/08/16,2019/09/23,Ended,2014/08/16,2014/08/21
_US-TA,TA,Q24A,"Divide, CO, USA",38.96,-105.15,2775,2008/06/28,2010/08/24,Ended,2008/06/28,2008/07/03
_US-TA,TA,Q25A,"Bedland, Calhan, CO, USA",38.91,-104.25,2001,2008/06/08,2010/05/04,Ended,2008/06/08,2008/06/26
_US-TA,TA,Q26A,"Hugo, CO, USA",38.92,-103.52,1546,2008/12/04,2010/10/17,Ended,2008/12/04,2008/12/22
_US-TA,TA,Q28A,"Sharon Springs, KS, USA",39.06,-101.83,1133,2009/05/10,2011/03/23,Ended,2009/05/10,2009/05/15
_US-TA,TA,Q29A,"Oakley, KS, USA",38.89,-100.98,895,2009/05/15,2011/03/21,Ended,2009/05/12,2009/06/03
_US-TA,TA,Q30A,"Quinter, KS, USA",38.98,-100.22,797,2009/05/14,2011/03/20,Ended,2009/05/14,2009/06/03
_US-TA,TA,Q31A,"Ellis, KS, USA",39,-99.39,680,2009/05/18,2011/03/20,Ended,2009/05/18,2009/06/03
_US-TA,TA,Q32A,"Meitler Ranch, Lucas, KS, USA",38.99,-98.56,526,2009/10/20,2011/08/24,Ended,2009/10/20,2009/10/26
_US-TA,TA,Q32M,"Nakina River, BC, CAN",58.96,-132.27,1951,2016/07/24,2599/12/31,Operating,2016/07/24,2016/09/12
_US-TA,TA,Q33A,"Connelly Farm, Tescott, KS, USA",39,-97.83,422,2009/10/27,2011/08/24,Ended,2009/10/27,2009/11/03
_US-TA,TA,Q34A,"Chapman, KS, USA",38.92,-96.94,378,2010/05/09,2012/03/17,Ended,2010/05/09,2010/05/17
_US-TA,TA,Q35A,"Mercer Eighty, Eskridge, KS, USA",38.86,-96.04,402,2010/05/12,2012/03/10,Ended,2010/05/12,2010/05/17
_US-TA,TA,Q36A,"Arnold C. Orvedal, Lecompton, KS, USA",38.96,-95.46,306,2010/05/14,2012/03/07,Ended,2010/05/14,2010/05/17
_US-TA,TA,Q37A,"Longview Farm, Lee&#x27;s Summit, MO, USA",38.88,-94.45,297,2010/03/24,2012/09/14,Ended,2010/03/24,2010/04/06
_US-TA,TA,Q38A,"Cook&#x27;s Store, Concordia, MO, USA",38.96,-93.62,228,2010/12/03,2012/10/20,Ended,2010/12/03,2010/12/14
_US-TA,TA,Q39A,"Willow Grove Farm, Nelson, MO, USA",39.05,-92.98,225,2010/12/01,2012/09/28,Ended,2010/12/01,2010/12/14
_US-TA,TA,Q40A,"Laux Farm, Auxvasse, MO, USA",38.99,-92.07,275,2010/12/06,2012/09/13,Ended,2010/12/06,2010/12/14
_US-TA,TA,Q41A,"Truxton, MO, USA",38.95,-91.23,191,2011/08/05,2013/04/13,Ended,2011/08/05,2011/08/12
_US-TA,TA,Q42A,"Golden Eagle, IL, USA",38.91,-90.53,175,2011/05/07,2013/05/29,Ended,2011/05/07,2011/05/16
_US-TA,TA,Q43A,"New Douglas, IL, USA",38.94,-89.7,202,2011/05/24,2013/04/25,Ended,2011/05/24,2011/05/31
_US-TA,TA,Q44A,"Meyer Farm, Vandalia, IL, USA",38.9,-89.02,164,2011/06/07,2013/04/15,Ended,2011/06/07,2011/06/13
_US-TA,TA,Q45A,"Warren Harvey, Newton, IL, USA",38.89,-88.16,162,2011/11/21,2013/07/15,Ended,2011/11/19,2011/11/22
_US-TA,TA,Q46A,"CEJHS Indians, Carlisle, IN, USA",39.02,-87.36,164,2011/11/08,2013/07/11,Ended,2011/11/08,2011/11/14
_US-TA,TA,Q47A,"Bedord North Lawrence Stars, Bedford, IN, USA",38.94,-86.43,230,2011/11/07,2013/07/14,Ended,2011/11/07,2011/11/14
_US-TA,TA,Q48A,"North Vernon, IN, USA",38.93,-85.73,185,2012/06/23,2014/05/03,Ended,2012/06/23,2012/07/10
